Num,generators,gen_types,nombres,zonas
1,ANGOSTURA,serie,ANGOSTURA,SEN
2,BLANCO,reservoir,BLANCO,SEN
3,CHACABUQUITO,serie,CHACABUQUITO,SEN
4,CHIBURGO,serie,CHIBURGO,SEN
5,COLBUN,reservoir,COLBUN,SEN
6,ALLIPEN,ror,PASADA_1,SEN
6,ALTO_HOSPICIO,ror,PASADA_1,SEN
6,ALTO_RENAICO,ror,PASADA_1,SEN
6,BIFURCADA,ror,PASADA_1,SEN
6,CALIBORO,ror,PASADA_1,SEN
6,CARENA,ror,PASADA_1,SEN
6,CONTRA,ror,PASADA_1,SEN
6,CURILEUFU,ror,PASADA_1,SEN
6,DONGUIL,ror,PASADA_1,SEN
6,EL_GALPON,ror,PASADA_1,SEN
6,EL_MANZANO,ror,PASADA_1,SEN
6,EL_RINCON,ror,PASADA_1,SEN
6,EL_TORO_N2,ror,PASADA_1,SEN
6,FLORIDA_3,ror,PASADA_1,SEN
6,GUAYACAN,ror,PASADA_1,SEN
6,LAS_VERTIENTES,ror,PASADA_1,SEN
6,LA_VINA,ror,PASADA_1,SEN
6,LOS_BAJOS,ror,PASADA_1,SEN
6,LOS_MORROS,ror,PASADA_1,SEN
6,LOS_PADRES,ror,PASADA_1,SEN
6,MALLARAUCO,ror,PASADA_1,SEN
6,MELO,ror,PASADA_1,SEN
6,PICHILONCO,ror,PASADA_1,SEN
6,RENAICO,ror,PASADA_1,SEN
6,RININAHUE,ror,PASADA_1,SEN
6,SANTA_ROSA,ror,PASADA_1,SEN
6,TRUFUL,ror,PASADA_1,SEN
7,HORNITOS_CH,reservoir,HORNITOS_CH,SEN
8,JUNCAL,reservoir,JUNCAL,SEN
9,LA_MINA,serie,LA_MINA,SEN
10,LOS_QUILOS,serie,LOS_QUILOS,SEN
11,MACHICURA,serie,MACHICURA,SEN
12,QUILLECO,serie,QUILLECO,SEN
13,RUCUE,serie,RUCUE,SEN
14,SAN_CLEMENTE,serie,SAN_CLEMENTE,SEN
15,SAN_IGNACIO,serie,SAN_IGNACIO,SEN
16,CANUTILLAR,reservoir,CANUTILLAR,SEN
21,EL_ARREBOL_EO,wind,EOLICA_1,SEN
21,Eolica testigo 1,wind,EOLICA_1,SEN
21,Eolica_Biobio_63,wind,EOLICA_1,SEN
21,HUAJACHE_EO,wind,EOLICA_1,SEN
21,LAS_PENAS_EO,wind,EOLICA_1,SEN
21,LA_ESTRELLA_EO,wind,EOLICA_1,SEN
21,LA_FLOR_EO,wind,EOLICA_1,SEN
21,LEBU_2_EO,wind,EOLICA_1,SEN
21,LEBU_3_EO,wind,EOLICA_1,SEN
21,LEBU_EO,wind,EOLICA_1,SEN
21,LOS_OLMOS_EO,wind,EOLICA_1,SEN
21,SAN_GABRIEL_EO,wind,EOLICA_1,SEN
17,CANELA_2_EO,wind,EOLICA_2,SEN
17,CANELA_EO,wind,EOLICA_2,SEN
17,EL_ARRAYAN_EO,wind,EOLICA_2,SEN
17,LOS_CURUROS_EO,wind,EOLICA_2,SEN
17,MONTE_REDONDO_EO,wind,EOLICA_2,SEN
17,PUNTA_COLORADA_EO,wind,EOLICA_2,SEN
17,PUNTA_PALMERAS_EO,wind,EOLICA_2,SEN
17,PUNTA_SIERRA_EO,wind,EOLICA_2,SEN
19,AEROPUERTO_FV,solar,SOLAR_1,SEN
19,ALGARROBO_V_FV,solar,SOLAR_1,SEN
19,ALTOS_TILTIL_FV,solar,SOLAR_1,SEN
19,ARGOMEDO_FV,solar,SOLAR_1,SEN
19,CACHIYUYO_FV,solar,SOLAR_1,SEN
19,CASABERMEJA_FV,solar,SOLAR_1,SEN
19,CHANCON_FV,solar,SOLAR_1,SEN
19,CHIMBARONGO_NIEBLAFV,solar,SOLAR_1,SEN
19,CHINCOL_FV,solar,SOLAR_1,SEN
19,CINTAC_FV,solar,SOLAR_1,SEN
19,CITRINO_FV,solar,SOLAR_1,SEN
19,CONDOR_PELVIN_FV,solar,SOLAR_1,SEN
19,CURACAVI_FV,solar,SOLAR_1,SEN
19,CURICURA_FV,solar,SOLAR_1,SEN
19,DON_MARIANO_FV,solar,SOLAR_1,SEN
19,EL_CONDOR_FV,solar,SOLAR_1,SEN
19,EL_CUERVO_FV,solar,SOLAR_1,SEN
19,EL_FLAMENCO_FV,solar,SOLAR_1,SEN
19,EL_PASO_FV,solar,SOLAR_1,SEN
19,EL_PILPEN_FV,solar,SOLAR_1,SEN
19,EL_PITIO_FV,solar,SOLAR_1,SEN
19,EL_QUELTEHUE_FV,solar,SOLAR_1,SEN
19,EL_ROMERAL_FV,solar,SOLAR_1,SEN
19,EL_ZORZAL_FV,solar,SOLAR_1,SEN
19,ERINOME_FV,solar,SOLAR_1,SEN
19,El_MEMBRILLO_FV,solar,SOLAR_1,SEN
19,FRANCISCO_FV,solar,SOLAR_1,SEN
19,HOMERO_FV,solar,SOLAR_1,SEN
19,HORMIGA_FV,solar,SOLAR_1,SEN
19,J_SOLER_M_FV,solar,SOLAR_1,SEN
19,LAS_ARAUCARIAS_FV,solar,SOLAR_1,SEN
19,LAS_CODORNICES_FV,solar,SOLAR_1,SEN
19,LAS_PERDICES_FV,solar,SOLAR_1,SEN
19,LAS_TERRAZAS_FV,solar,SOLAR_1,SEN
19,LA_ACACIA_FV,solar,SOLAR_1,SEN
19,LA_QUINTA_FV,solar,SOLAR_1,SEN
19,LEMU_FV,solar,SOLAR_1,SEN
19,LIPANGUE_FV,solar,SOLAR_1,SEN
19,LOICA_FV,solar,SOLAR_1,SEN
19,LOMA_LOS_COLORADOS_FV,solar,SOLAR_1,SEN
19,LOS_GIRASOLES_FV,solar,SOLAR_1,SEN
19,LOS_GORRIONES_FV,solar,SOLAR_1,SEN
19,LOS_TORDOS_FV,solar,SOLAR_1,SEN
19,LO_BOZA_FV,solar,SOLAR_1,SEN
19,LUDERS_FV,solar,SOLAR_1,SEN
19,MACHICURA_FV,solar,SOLAR_1,SEN
19,MALAQUITA_SOLAR_FV,solar,SOLAR_1,SEN
19,NANCAGUA_FV,solar,SOLAR_1,SEN
19,NAZARINO_VERANO_FV,solar,SOLAR_1,SEN
19,NILHUE_FV,solar,SOLAR_1,SEN
19,OVEJERIA_FV,solar,SOLAR_1,SEN
19,PANGUILEMO_FV,solar,SOLAR_1,SEN
19,PARAGUAY_FV,solar,SOLAR_1,SEN
19,PEQUEN_FV,solar,SOLAR_1,SEN
19,PERALILLO_FV,solar,SOLAR_1,SEN
19,PIDUCO_FV,solar,SOLAR_1,SEN
19,PIRQUE_FV,solar,SOLAR_1,SEN
19,PLACILLA_FV,solar,SOLAR_1,SEN
19,PORVENIR_FV,solar,SOLAR_1,SEN
19,PUENTE_FV,solar,SOLAR_1,SEN
19,QUILAPILUN_FV,solar,SOLAR_1,SEN
19,QUINANTU_FV,solar,SOLAR_1,SEN
19,RANGUIL_FV,solar,SOLAR_1,SEN
19,RAULI_FV,solar,SOLAR_1,SEN
19,RAUQUEN_FV,solar,SOLAR_1,SEN
19,RCU_FV,solar,SOLAR_1,SEN
19,ROMERO_FV,solar,SOLAR_1,SEN
19,ROVIAN_FV,solar,SOLAR_1,SEN
19,SANTA_CAROLINA_FV,solar,SOLAR_1,SEN
19,SANTA_FE_FV,solar,SOLAR_1,SEN
19,SANTIAGO_SOLAR_FV,solar,SOLAR_1,SEN
19,SAN_CAMILO_FV,solar,SOLAR_1,SEN
19,SAN_FRANCISCO_FV,solar,SOLAR_1,SEN
19,SAN_ISIDRO_FV,solar,SOLAR_1,SEN
19,SOL_DE_SEPTIEMBRE_FV,solar,SOLAR_1,SEN
19,TALCA_FV,solar,SOLAR_1,SEN
19,TECHOS_DE_ALTAMIRA_FV,solar,SOLAR_1,SEN
19,TECHOS_WATTS_FV,solar,SOLAR_1,SEN
19,TENO_FV,solar,SOLAR_1,SEN
19,TENO_UNO_FV,solar,SOLAR_1,SEN
19,TIL_TIL_FV,solar,SOLAR_1,SEN
19,UTFSM_SAN_JOAQUIN_FV,solar,SOLAR_1,SEN
19,UTFSM_VITACURA_FV,solar,SOLAR_1,SEN
19,VALLE_DE_LA_LUNA_2_FV,solar,SOLAR_1,SEN
19,VALLE_SOLAR_ESTE_FV,solar,SOLAR_1,SEN
19,VALLE_SOLAR_OESTE_FV,solar,SOLAR_1,SEN
19,VILLA_ALEGRE_FV,solar,SOLAR_1,SEN
19,VILLA_CRUZ_7_FV,solar,SOLAR_1,SEN
19,VILLA_CRUZ_FV,solar,SOLAR_1,SEN
20,ALHUE_FV,solar,SOLAR_2,SEN
20,AVILES_FV,solar,SOLAR_2,SEN
20,CAIMI_FV,solar,SOLAR_2,SEN
20,CANTERA_FV,solar,SOLAR_2,SEN
20,CHICAUMA_VERANO_FV,solar,SOLAR_2,SEN
20,COLCHAGUA_FV,solar,SOLAR_2,SEN
20,CONDOR_FV,solar,SOLAR_2,SEN
20,DON_JORGE_FV,solar,SOLAR_2,SEN
20,EL_BOCO_AMPL_FV,solar,SOLAR_2,SEN
20,ESCORIAL_VERANO_FV,solar,SOLAR_2,SEN
20,FARAMALLA_FV,solar,SOLAR_2,SEN
20,FUSTER_DEL_VERANO_FV,solar,SOLAR_2,SEN
20,FV testigo 1,solar,SOLAR_2,SEN
20,GUADALAO_FV,solar,SOLAR_2,SEN
20,KAUFMANN_FV,solar,SOLAR_2,SEN
20,LAS_CHACRAS_FV,solar,SOLAR_2,SEN
20,LAS_TORCAZAS_FV,solar,SOLAR_2,SEN
20,LA_ESTANCIA_FV,solar,SOLAR_2,SEN
20,LA_FORESTA_FV,solar,SOLAR_2,SEN
20,LOS_TILOS_FV,solar,SOLAR_2,SEN
20,MAITENES_FV,solar,SOLAR_2,SEN
20,MANAO_FV,solar,SOLAR_2,SEN
20,MARCHIGUE_7_FV,solar,SOLAR_2,SEN
20,NEWENTUN_FV,solar,SOLAR_2,SEN
20,OVALLE_NORTE_FV,solar,SOLAR_2,SEN
20,PALERMO_FV,solar,SOLAR_2,SEN
20,PILPILEN_FV,solar,SOLAR_2,SEN
20,PLAYERO_3_FV,solar,SOLAR_2,SEN
20,RUCASOL_FV,solar,SOLAR_2,SEN
20,SANTA_INES_FV,solar,SOLAR_2,SEN
20,SANTA_MARGARITA_FV,solar,SOLAR_2,SEN
20,SAN_RAMIRO_FV,solar,SOLAR_2,SEN
20,San Felipe 012 VII,solar,SOLAR_2,SEN
17,PuntadeTalca,wind,EOLICA_2,SEN
17,SAN_JUAN_EO,wind,EOLICA_2,SEN
17,TALINAY_ORIENTE_EO,wind,EOLICA_2,SEN
17,TALINAY_PONIENTE_EO,wind,EOLICA_2,SEN
17,TOTORAL_EO,wind,EOLICA_2,SEN
17,UCUQUER_2_EO,wind,EOLICA_2,SEN
17,UCUQUER_EO,wind,EOLICA_2,SEN
17,VALLE_DE_LOS_VIENTOS_EO,wind,EOLICA_2,SEN
18,Eolica_Antofagasta_4,wind,EOLICA_3,SEN
18,Eolica_Horizonte,wind,EOLICA_3,SEN
18,SAN_PEDRO_EO,wind,EOLICA_3,SEN
18,TALTAL_EO,wind,EOLICA_3,SEN
22,ALENA_EO,wind,EOLICA_4,SEN
22,CABO_LEONES_1_EO,wind,EOLICA_4,SEN
22,CABO_LEONES_2_EO,wind,EOLICA_4,SEN
22,CABO_LEONES_3_EO,wind,EOLICA_4,SEN
22,CUEL_EO,wind,EOLICA_4,SEN
22,Campo Lindo,wind,EOLICA_4,SEN
22,EL_MAITEN_EO,wind,EOLICA_4,SEN
22,EL_NOGAL_EO,wind,EOLICA_4,SEN
22,Eolica testigo 2,wind,EOLICA_4,SEN
22,Eolica testigo 3,wind,EOLICA_4,SEN
23,HB testigo 1,ESS,HB testigo 1,SEN
24,HB testigo 2,ESS,HB testigo 2,SEN
25,HB testigo 3,Pvbess,HB testigo 3,SEN
26,CSP testigo 1,PVbess,CSP testigo 1,SEN
27,SDA 1,ESS,SDA 1,SEN
28,SDA 2,ESS,SDA 2,SEN
,,,,
,ALCALDESA_FV,solar,SOLAR_3,SEN
,ALMEYDA_FV,solar,SOLAR_3,SEN
,ALTO_SOLAR_FV,solar,SOLAR_3,SEN
,AMPARO_DEL_SOL_FV,solar,SOLAR_3,SEN
,AVEL_FV,solar,SOLAR_3,SEN
,BERRUECO_FV,solar,SOLAR_3,SEN
,BICENTENARIO_FV,solar,SOLAR_3,SEN
,BULNES_LOS_BARONES_FV,solar,SOLAR_3,SEN
,CABRERO_FV,solar,SOLAR_3,SEN
,CANCURA_2_FV,solar,SOLAR_3,SEN
,CARACOLES_FV,solar,SOLAR_3,SEN
,CASAS_BLANCAS_FV,solar,SOLAR_3,SEN
,CATAN_SOLAR_FV,solar,SOLAR_3,SEN
,CEME1,solar,SOLAR_3,SEN
,CENTAURO_FV,solar,SOLAR_4,SEN
,CHUCAO_FV,solar,SOLAR_4,SEN
,CIPRES_FV,solar,SOLAR_4,SEN
,COCHARCAS_FV,solar,SOLAR_4,SEN
,COIHUECO_S_C_FV,solar,SOLAR_4,SEN
,COIHUECO_V_M_FV,solar,SOLAR_4,SEN
,CONEJO_FV,solar,SOLAR_4,SEN
,CORDILLERILLA_FV,solar,SOLAR_4,SEN
,CORTIJO_FV,solar,SOLAR_4,SEN
,CRUCERO_FV,solar,SOLAR_4,SEN
,CUZCUZ_FV,solar,SOLAR_4,SEN
,DADINCO_FV,solar,SOLAR_4,SEN
,DIEGO_DE_ALMAGRO_FV,solar,SOLAR_4,SEN
,DONIHUE_FV,solar,SOLAR_4,SEN
,DON_EUGENIO_FV,solar,SOLAR_4,SEN
,EL_CERNICALO_1_FV,solar,SOLAR_4,SEN
,EL_CERNICALO_2_FV,solar,SOLAR_4,SEN
,EL_DIVISADERO_FV,solar,SOLAR_4,SEN
,EL_PIUQUEN_FV,solar,SOLAR_4,SEN
,EL_RESPLANDOR_FV,solar,SOLAR_4,SEN
,EL_ROBLE_FV,solar,SOLAR_4,SEN
,EL_TRILE_FV,solar,SOLAR_4,SEN
,ESPERANZA_2_FV,solar,SOLAR_4,SEN
,ESPERANZA_FV,solar,SOLAR_4,SEN
,FULGOR_FV,solar,SOLAR_4,SEN
,GRANADA_FV,solar,SOLAR_4,SEN
,HUAPE_FV,solar,SOLAR_4,SEN
,ILLAPEL_5_FV,solar,SOLAR_4,SEN
,LAS_CATITAS_FV,solar,SOLAR_4,SEN
,LAS_LECHUZAS_FV,solar,SOLAR_4,SEN
,LAS_MOLLACAS_FV,solar,SOLAR_4,SEN
,LAS_PALOMAS_FV,solar,SOLAR_4,SEN
,LAS_TORTOLAS_FV,solar,SOLAR_4,SEN
,LA_BLANQUINA_1_FV,solar,SOLAR_4,SEN
,LA_FRONTERA_FV,solar,SOLAR_4,SEN
,LA_HUAYCA_2_FV,solar,SOLAR_4,SEN
,LA_LAJUELA_FV,solar,SOLAR_4,SEN
,LA_MANGA_1_FV,solar,SOLAR_4,SEN
,LA_PALMA_FV,solar,SOLAR_4,SEN
,LINARES_SAN_ANTONIO_FV,solar,SOLAR_5,SEN
,LINARES_SOLAR_FV,solar,SOLAR_5,SEN
,LINARES_VDN_FV,solar,SOLAR_5,SEN
,LOMAS_COLORADAS_FV,solar,SOLAR_5,SEN
,LOS_LIBERTADORES_FV,solar,SOLAR_5,SEN
,LOS_PATOS_FV,solar,SOLAR_5,SEN
,LOS_PUQUIOS_FV,solar,SOLAR_5,SEN
,LUCE_SOLAR_FV,solar,SOLAR_5,SEN
,LUCUMO_FV,solar,SOLAR_5,SEN
,LUNA_DEL_NORTE_FV,solar,SOLAR_5,SEN
,LUNA_FV,solar,SOLAR_5,SEN
,MALINKE_FV,solar,SOLAR_5,SEN
,MARCHIGUE_2_FV,solar,SOLAR_5,SEN
,MECO_CHILLAN_FV,solar,SOLAR_5,SEN
,MERCURIO_SUR_FV,solar,SOLAR_5,SEN
,MOSTAZAL_FV,solar,SOLAR_5,SEN
,MOYA_FV,solar,SOLAR_5,SEN
,MUTUPIN_FV,solar,SOLAR_5,SEN
,NIQUEN_FV,solar,SOLAR_5,SEN
,PACHIRA_FV,solar,SOLAR_5,SEN
,PICA_1_FV,solar,SOLAR_5,SEN
,PICURIO_FV,solar,SOLAR_5,SEN
,PILAR_LOS_AMARILLOS_FV,solar,SOLAR_5,SEN
,PLAYERITO_FV,solar,SOLAR_5,SEN
,PLAYERO_FV,solar,SOLAR_5,SEN
,PMGD FV Quillon,solar,SOLAR_5,SEN
,POBLACION_FV,solar,SOLAR_5,SEN
,PORTEZUELO_FV,solar,SOLAR_5,SEN
,PUELCHE_FV,solar,SOLAR_5,SEN
,QUEULE_FV,solar,SOLAR_5,SEN
,SANTA_CLARA_FV,solar,SOLAR_5,SEN
,SANTA_ESTER_FV,solar,SOLAR_5,SEN
,SANTA_LUISA_FV,solar,SOLAR_5,SEN
,SANTA_RITA_FV,solar,SOLAR_5,SEN
,SANTA_ROSA_FV,solar,SOLAR_5,SEN
,SAN_CARLOS_FV,solar,SOLAR_5,SEN
,SAN_JAVIER_1_FV,solar,SOLAR_5,SEN
,SATURNO_NORTE_FV,solar,SOLAR_5,SEN
,SAUCE_7_SOLES_FV,solar,SOLAR_5,SEN
,SOL_DEL_NORTE_FV,solar,SOLAR_5,SEN
,SOL_SANTA_INES_FV,solar,SOLAR_5,SEN
,TAMBO_REAL_FV,solar,SOLAR_5,SEN
,TRICAHUE_2_FV,solar,SOLAR_5,SEN
,TRICA_DOS_FV,solar,SOLAR_5,SEN
,VENTURADA_FV,solar,SOLAR_5,SEN
,VILLA_PRAT_FV,solar,SOLAR_5,SEN
,VILLA_SECA_FV,solar,SOLAR_5,SEN
,VITUCO_2B_FV,solar,SOLAR_5,SEN
,Victoria 13.2 I,solar,SOLAR_5,SEN
,WATTS_LONQUEN_FV,solar,SOLAR_5,SEN
,ALTOS_DEL_PAICO_FV,solar,SOLAR_3,SEN
,ANDES_2A_FV,solar,SOLAR_3,SEN
,ANDES_FV,solar,SOLAR_3,SEN
,AZABACHE_FV,solar,SOLAR_3,SEN
,CALAMA_1_FV,solar,SOLAR_3,SEN
,CERRO_DOMINADOR_FV,solar,SOLAR_4,SEN
,CHIMBARONGO_FV,solar,SOLAR_4,SEN
,CRUCERO_SOLAR_FV,solar,SOLAR_4,SEN
,DEL_DESIERTO_FV,solar,SOLAR_4,SEN
,DOMEYKO_FV,solar,SOLAR_4,SEN
,ECLIPSE_FV,solar,SOLAR_4,SEN
,EL_MONTE_FV,solar,SOLAR_4,SEN
,JAMA_1_FV,solar,SOLAR_4,SEN
,JAMA_2_FV,solar,SOLAR_4,SEN
,LAS_TURCAS_FV,solar,SOLAR_4,SEN
,LAUREL_FV,solar,SOLAR_4,SEN
,LIRIO_DE_CAMPO_FV,solar,SOLAR_5,SEN
